text,rating,account_age_days,verified_purchase,multiple_ips,label
"Some great, some not great. Product offering is fantastic. Markup on the cheap stuff is not. But if i Use their App then that is on me. Easy returns. Free shipping. Good to go",3.0,102,0,0,0
"Amazon themselves are great the problem I have is when I buy tools It is virtually Impossible to get receipts from third party sellers, It then makes the whole concept of using Amazon for cheaper tools none viable as we can not get tax relief or vat back from the purchase.",3.0,610,1,0,0
Customer service is horrible. I made a purchase for my granddaughters birthday. The package was delivered to my house instead of my granddaughters. I contacted customer service and was told they couldn't do anything because their computer wouldn't let them change anything and it would be up to me to fix the situation myself. SAD,1.0,1948,0,0,0
"Amazon is the online shopping site,Great customer service.You can anything to buy on this Shopping site,very easy to steps to buy...",5.0,25,0,1,1
Sells nearly everything at very good prices. Always had a really good experience with delivery and quality.,5.0,1396,1,0,0
"Purchased a fridge for our elderly pensioner parents from ""ship it appliances"".upon opening the box(box undamaged) the freezer compartment door was faulty.contacted the seller who operates sales through the amazon site,they suggested some laim ideas how to cure the issue which didn't work,after going through this A to Z resolution centre amazon decided to close the case.the seller now doesn't communicate,won't issue a refund or collect the faulty unit,amazon clearly let these dodgey sellers on there site selling faulty item.amazon are saying its the sellers responsibility to communicate and sort issues,but if the seller is unwilling to rectify the fault where does it leave buyers,amazon a multi billion pound company just sit on the sidelines doing nothing but send generic scripted replies which still do not rectify the problem.pensioner parents out £125 and amazon let's this carryon.well,us a family will not buy again from amazon,and trust me as a family unit we buy alot,until this is rectified.ridiculous the way this is being handledDO NOT USE ""SHIP IT APPLIANCES"" OR AMAZON",1.0,17,0,0,1
"We order weekly from Amazon and are never disappointed by late deliveries.  Orders arrive when they are expected to arrive, always packaged well to preserve the integrity of the book covers.  Whatever one's book needs, Amazon will have it or find it.  Sandra McLeod",5.0,382,1,0,0
"I initially loved the convenience Amazon offered, ordering almost anything while I am sitting on my couch in the living room and receiving the goods fairly quickly as a prime customer. In the last 3-4 months, I ordered a number of various items from skincare products to herbal medicine, furniture to wigs, you name it. Almost all were waiting Th we super low quality although the reviews were good and products had many stars. Then I learned many sellers offer free product to whomever gives positive feedback. I also received a number of counterfeit providers and after months of battling with all these issues, I finally gave up and decided to cancel my amazon account. It’s not worth it. I’m not going to play the stupidest buy and return game. It’s just waste of time. I’d rather pay the premium and go to a store and buy legitimate items where a company stands behind the quality of the goods.",1.0,1691,0,0,0
Horrible Customer Service. Many times items scheduled were rescheduled at last minute.  I pay Amazon Prime to get items as scheduled.,1.0,1634,1,0,0
amazing amazon services.....!!! love it .,5.0,724,1,0,0
"I use amazon ALOT and after a friend told me about ‘vine customers’ I made sure to write helpful reviews in the hope I’d be selected as one! Amazon removed my reviews and said I wasn’t allowed to review anymore as they thought I had posted a bias review for a friend or family member! The operator agreed that they couldn’t understand why as the item I had reviewed was Christmas cards, n I had bought about 30 of them all the same kind, but from different sellers on amazon and I left pretty much the same review for all of them! The one seller had no relation and the seller was miles & miles away! Amazon refused to tell me why they thought it was a dodgy review and wouldn't look into it further! So now I can’t become s vine customer and I wasted hours n hours writing helpful reviews! Oh and amazon allows pictures from reviews to be used on other websites as my face is plastered on an online article and the picture that was only posted on an amazon review!",2.0,22,0,1,1
"I have always been very happy with Amazon and the service I received, as I order regularly from them. But in this case I am very disappointed and upset..and causing no end of distress to me..I am a 74year old lady and i ordered a phone . The star rating should be a minus. When I received it was not the one i expected, it was used and scratched and purple so I returned it the next day for a refund.They now insist that the phone i returned was not the correct on and that the sent a sage one. This is not so . They are saying they will not refund my money until I return the correct phone. I have sent and received several e mails but to no avail they just won't believe me  that I received and returned the purple phone. Its' not so much the money but the principle and the fact that they are calling me a thief and a liar.They now have the purple phone and my money. and refuse to go any further with the matter . I will continue to plead my case and try to prove that I am not a thief or liar.The latest email I received was today though my order was 1st of August and i returned it on the 2nd August. I continue to write to them ( now 8 times)but they have said they may no longer reply an jus insist that they are right and I am wrong. What can I do ?",1.0,21,0,1,1
Ordered an item and it was never delivered. Made a ticket and was told they would have to file a dispute and to message them in 3 days. I messaged them and they told me they werent going to resend or refund the item. Had to call my bank to refund the money.,1.0,1374,1,0,0
"Their agent ""Vignesh B"" lied about processing my Kindle book  refund. The refund was never processed, but advised that it was !I have had  to follow up with a different agent to have the refund processed on the spot. The level of customer service provided was horrendous and terribly unsatisfactory.  They now resort to telling lies to their customers. How can these lot be trusted ?",1.0,549,1,0,0
Someone has hacked my prime video and I was told pretty much there is nothing they can do. I tried to cancel my account and get my money back but it keeps saying it will cancel next year when it renews. Twice I talked to customer service and each time they asked for my email address three times like they did not understand me. Worst customer service I have ever had. Couldn't pay me to join again.,1.0,755,1,0,0
"Whether they pay enough tax or not, my experience with Amazon over the last year or so has been very good. Prime gives us lightning delivery and the one time we had a problem, a replacement item was sent immediately without question. Communications are very good.",5.0,1065,1,0,0
"Most of the customer service agent provide false information, confirmed by a supervisor",1.0,704,1,0,0
"I have spent at least 20 calls, purchased several items including a brand new Kindle Fire (when I already had one, as they suggested my old one was the problem and after a new Kindle the issue continues), I have been hung up on, and promised calls never returned.  The problem is now 3 months old now and I am dealing with two separate issues, but the same problem.  They seriously do not care, I have spent (and this is no exaggeration), at least $15k in the last two years with Amazon.  I am done.  I will pay off my card, cancel my Prime Membership and shop anywhere else but Amazon.",1.0,481,1,0,0
"Ordered some items from amazon, was waiting in for them, then have a message to say been delivered but iv not recived them.Customer service didn't help much only interested in making out they will do something.Maybe they should stop using any one with a car to deliver and employ more trained delivery drivers..",1.0,320,1,0,0
"Excellent customer service if I have to return an item no problem I could go to whole foods or to ups refund the same day that I call customer service and no wait they answer the phone as soon as you call and sometimes they just say keep it and we will refund it back to your credit card ,customer service is 24/7 and I trust Amazon  and there getting bigger and bigger",5.0,1875,0,0,0
"This company has gone from bad to worse, they do not even try to please or provide whatever service the customers have paid for. Their costumer support is the worst by far, there is never solution to issues, they just ask you to return the item and reorder. Their chat system is not good at all, they transfer your chat among themselves like they are playing with you.It you submit a review that involves their agents or the organization, it will never be published on their web page.",1.0,1015,1,0,0
"If there was an option below one would have selected that. Call Center agents based out of Philippines standard computer generated replies no empathy. Ordered a microwave delivered a carpet cleaner, want me to place an order again instead of replacing the item. Call taken by an agent named Jill rude and abrupt. Escalated to supervisor who again was the same. Rushed the call called the microwave furniture instead of electronics the entire time. Horrible customer service. ",1.0,148,1,0,0
This company's absolutely a nightmare every few months I have a problem with them all them myself a new coffee machine but doesn't matter what I've ordered but the older still hasn't arrived in the Amazon lockers normally by 1:00 I would be picking it up by now I pay all this money for my subscription and they treat their customers like dirt they don't even give a damn about us he says he's out on the road he's on the road why comes it hasn't been delivered yet their drivers are so slow,1.0,700,1,0,0
"I ordered a playstation 5, and the package was never delivered for €560! DHL said it was delivered but it’s not. Contacted the seller and Amazon. They did nothing. They just believed DHL that the delivery was succeeded. Never ordering at Amazon again. Now my money is gone and I can’t do anything about it. I’m staying with local services.",1.0,159,1,0,0
"Very happy with Amazon, can't live without it!",5.0,1585,0,0,0
If you order a lot it would behoove you to have Prime. Well worth it! I get most of my items in 2-3 days! Been ordering for quite a while and S&H is free with Prime. I love this service!!!,5.0,18,0,0,1
"Customer service is very bad, I have been trying to find items that they claim are sent but have no record or tracking number, that exists. The company that is supposed to deliver has no record of those numbers. Constant run around with customer service.",1.0,1627,1,0,0
"One place,one site, no surfing just ""take save the time""",5.0,1952,1,0,0
"Great service, delivered next day. Very impressed",5.0,404,1,0,0
"My friend ordered an iPhone mobile on the Amazon store by using offer from Saveplus. He saved up to Rs.17,000 money by using this offer.",4.0,1092,1,0,0
"Amazon are inherently dishonest, I made a complaint re goods ordered not to specification, Upon looking at reviews I saw vendor had 12% 1 star reviews including mine. I looked this up again and Amazon had removed the bad reviews and vendor suddenly had 100% feedback. Again Amazon are dishonest.. whilst acknowledging my complaint they had done  diddly squat. Perhaps now time to do a credit card chargeback.",1.0,1419,1,0,0
Review text not found,5.0,323,1,0,0
"Everything I order is always quickly delivered and no fuss , saves me having to go from shop to shop as it’s all in one place from my sofa .",5.0,143,1,0,0
I placed an order in November 2019 that I was charged for over £500It was about a week before I got a delivery date window. On the final day of the delivery window amazon emailed a new dateI then went through and got written confirmation that the order would be delivered on 17th December. Then within the same hour of confirmation the delivery window changed this cycle continued I did get written confirmation that the order was cancelled from amazon but still no refundLot of lies being told and have lost all trust and confidence in amazonEvery customer service send you in circles with bad information and tell you the order will be delivered etc again and again but still no refund,1.0,9,1,0,1
Walmart.com used to be my go-to well I got a free trial with Amazon now I'm addicted great company get your stuff exactly when they say one to two days always and I really like whenever your driver is gps tells you how many stops you have before it gets to you shows exactly on the map where the driver is thanks Amazon for getting me addicted,5.0,635,1,0,0
"Why pay extra for a guaranteed delivery time they sold you on when they  don't deliver and only tell you after the money has come out that is was estimated and not, infact, as they promised, guaranteed. Another typical lie to steal money.",1.0,299,1,0,0
They  are  still  advertising and  sending stuff to me  about  these  offers  yet  I  signed up  for their  99p  deal cancelled 2  days  later  when  my  order didn't  arrive any quicker yet was charged £7.99p   despite  numerous requests  for  the  money  to  be  refunded  no  one has  even  contacted me...don't  fall for  this...to  date  amazon have not refunded my money and are ignoring all my messages,1.0,340,1,0,0
I like Amazon and have had a good time with them. There have been very few issues and I always get my products. A few late deliveries and minor issues but overall they are pretty good.,4.0,378,1,0,0
great selection but not always the best price. You can often get better deals on ebay even as 'but now' items. However the customer service is generally great ( bit slow but great) and there is that feeling of security like as if you go into a retail store.,4.0,1864,1,0,0
Review text not found,4.0,1136,1,0,0
"Needs to be ZERO stars.... horrible excuse for a company.  Total lack of customer service and disregard for the customer (now former customer).  Callous, repetitive, robotic refusal to keep a customer...and they lost a customer over less than $5...and it seems they could not have cared less.  Reminds us of the following truth...""  The bigger they are, the harder they fall.""",1.0,1818,1,0,0
"Did a search for tires on  Amazon. Saw Firestone tire i really wanted. Click and im looking at the tire. Clearly states buy 4 get $60 off your order. Of course I never got that $60 discount. Went round and round on two separate days. I chatted with 3 different agents. One agent actually said the, $60 discount was for free shipping. Also stated free shipping and free returns. Amazon is like all the other scams anymore. I  guess you can do what you want when at there level.",1.0,21,0,0,1
you can buy almost anything on  amazon and they have great prices,5.0,1169,1,0,0
"Amazon sucks. They said they delivered my package, however I never received  it. Then they said they had no tracking information. UNBELIEVABLE!!!!!!!",1.0,508,1,0,0
I have ordered many things at Amazon and I love their service and wide variety of items,5.0,1709,1,0,0
amazon  have block my review because i have been honest about value amazon service is o.k but somethink not right here so do make sure you are getting value fore money,2.0,826,1,0,0
"I've ordered a package a week ago and was told it would be delivered today, it showed up as delivered but I NEVER RECEIVED ANY PACKAGE, now I have to wait a full 24 hours to see if I can get my package or my refund. It's very unprofessional. I used Amazon almost every other week with no problem,this will definitely be my last time",1.0,4,0,0,1
"I tried to purchase a kindle version of a book which showed on amazon.com priced at $61.76. So I decided to buy it with one click, I wasn’t logged in so I logged in and immediately clicked on the buy with one click button as I was not expecting logging in will have any effect on the order.Afterwards, I received in my email invoice with a completely different price than the one shown before ($81.59). When I brought this to the attention of amazon customer service they told me that is just a normal change in price across the time.However, then I noticed when I log out price drops back to $61.76. Every single time I log into my account price becomes $81.59 and every single time I log out it drops back to $61.76. I tested this about 8-10 times and even recorded one such attempt in case they change it later so I can bring this issue to the attention of local authorities and lawmakers because if this is legal it definitely should not be in the future.I am appalled by this for two reasons:The practice itself is incredibly deceitful. In fact, since I did not notice the change in price right away and at amazon.com you buy kindle books with one click I purchased the book at an increased price and now wasted my time going through the return process. Furthermore, I wonder how many shoppers might never even notice this happening and literary get scammed by amazon - I doubt that any customer expects the price of purely digital good changing after they log-in, and hence many might not check.Customer service laying to customers. When I wrote an email about this to the amazon customer service their reply was that Amazon prices change with time and tax rates might be different in different states.However, the price changes every time I log in log out - hence clearly the price is not a function of time but a binary function of whether I am logged in or out of my account. Claiming that’s changing with time is incredibly intellectually dishonest as the fact that the price is still even of the time of this writing shown to be $61.74 shows that at least today the price was completely unrelated to time but depended solely on my logged in/out status.Furthermore, this cannot be explained by taxes because when I log into my account the pre-tax price is changed as well! In fact from the order summary from my accidental purchase, I can see that the pre-tax price I was charged was $67.99. That is higher than the post VAT price shown before I log in.This is really low! If amazon sets different prices based on the login of a customer they should at least be transparent about it and put a big warning sign under each price! Furthermore, they should at least transparently say that price depends on the customer and not time as is the case here!All future customers of amazon should be beware of this practice! You might get billed completely different price than the one they pretend to offer!",1.0,1628,1,0,0
Review text not found,3.0,1655,1,0,0
"If I could give Amazon Prime and Amazon a - 0 rating I would. I have given Amazon ample opportunity to get the logistics under control and they have the limited capacity to do so. this is at least the fourth time that I have sat at home for 18 hours expecting a prime delivery that did not arrive, then they have the audacity to say on my account that I refused shipment and blame me for their horrible Logistics. this after I have explicitly asked customer service not to have any of my shipments delivered via Amazon Logistics, because I have had numerous packages in the past not arrive via Amazon contracted couriers. As of today I have cancel my Amazon Prime what's the point.",1.0,29,0,0,1
"Amazon never failed me, I have been amazon customer from 2009 and a prime member. its a privilege being a customer for amazon and to receive so many products at better price with such quick delivery.Fast response, they take back any complaint products very swiftly, handle returns positively. Will recommend amazon to anyone and everyone for better value and for better money.",5.0,524,1,0,0
Pay their employees minimum but the owner is a billionaire!!! Our small businesses are going bankrupt while this company is getting richer.,1.0,1096,1,0,0
if i order at 8am for next day delivery. it should be here next DAY!! not late the next night ffs ,1.0,1795,1,0,0
I ordered a toy for my grandson on the 15th December. I received a e-mail from Amazon saying it would be delivered to my local hub on Tuesday 20th Dec giving me tracking and order numbers. I cancelled my Amazon account on the 21st Dec. I have never received the toy but amazon were VERY QUICK to TAKE the £39.99 out of my credit card.I have phoned them and they say because I do not have an account with them they cannot do anything!! They still KEPT the money though and the TOY!!! Absolutely left hand not knowing what the right hand was doing and appauling customer service. Will NOT be using them ever again,1.0,253,1,0,0
"ordered a graphic card on amazon in the UK. I received an obsolete one that was 2 years old and didn't match the description and picture used by the seller. I ordered one with 3 display 2.0 ports and one hdmi port and received 1 hdmi port and 1 old display 1.4 port and 1 dual link port. I sent it back, and 12 days after I paid for the item, I still not get my money back... Amazon customer service explained that they have standard, but it seems they have higher standard for protecting themselves than protecting customers... so for them it's normal to play 15 days with the money of a customer that they just scammed and shipped a product that is not what it's supposed to be. Customer service was useless, rude, arrogant and clearly didn't give a sh... about customers...",1.0,656,1,0,0
"It's pretty easy to use and see all your past orders. I have had mostly good experiences, the Prime membership is more expensive than it used to be so I cancelled mine now.",4.0,209,1,0,0
Every time I pay for something overnight delivery it’s late and I still have to wait for one more day delivery,1.0,214,1,0,0
Cant even write a review on a product because they are “incapable” of processing reviews or they are manipulating reviews… well isnt that the goddamn point of reviews so i can make an educated decision based on other peoples experience. So from my understanding this should really be a criminal offence it’s definitely  borderline,1.0,1632,1,0,0
"I have been a loyal customer for years , over the last twelve months there delivery drivers have become an absolute joke, they turn up in these tatty white vans (guessing sub contractors) one last week didn't even get out of his van just threw the item over thr wall, not just mine everyone up the street, just like paperboy in the USA , they lie saying parcel handed to customer, most time I only know it has arrived when it hits the front door after being launched from the pavement,  the latest trick it it arrives two hours early but they don't mark it as delivered until much later in the day , Amazon you really have let your standards drop.",1.0,4,0,1,1
"I think Amazon is guaranteed to be the only company still in business. I,ve ordered lots during lockdown. Always received goods promptly and delivery guy always pleasant. Ordered something 8pm last night being delivered today what service!",5.0,673,0,0,0
Here is Amazon’s latest get rich con and Jeff backass is getting filthy rich with it!You buy things they screw around and take there sweet time there is NO CUSTOMER SERVICE BIG business  REMOVED THAT PEOPLE !!! Amazon  THEN DELETES YOUR Account you have no Waurentees record of purchases nothing  YOU CANT RETURN RECUND REPLACE GET ANY RICE BRAIN NON ENGLISH SOEAKING GOD THEY HANG UP THIS WEEK I CALLED 1000 times I still do not have my money back from orders list or not in box from July 24 2020 fear me amiconned  MORONs no slick con buying their criminal enterprise from the us government YOu GET NO SERVICE WHILE UGLY GREEDY CONMAN JEFF BACKASS FLIES TO THE MOON THANKING ALL OF HIS AMAZON CUSTOMERS ! This month trying to buy food I’m starving again and my animals are skin and bones I’m bashing  every Amazon  truck I can find walking around  29 months in a row I waste weeks every month screaming at the specially Picked  deaf  mutes Amazon hires for no customer service no money out just money in garbage out boycott AMICONNED today or I’m going to prison  attempting to get someone robbing me from amicon to listen via my bat,1.0,1512,1,0,0
AWFUL PLATFORM TO SELL ON EBAY HAS MUCH BETTER SELLER SUPORT CONSTANT INCORRECT DESCIONS WITH NO EXPLANATION AND NO ONE TO HELP ,1.0,115,1,0,0
"Once great now a joke! Foreigners you can’t understand, do nothing. Taking my 65k spending a year away from them.",1.0,1881,1,0,0
"Pre-order an item and on release day the tracking stated it would take a whole week to arrive, wouldn't mind but when I went on to amazon I could order the same item and get it next day so I rang to complain and basically got nowhere.The service has gone really downhill recently starting to think about cancelling prime as you never get next day anymore anyway",1.0,1372,1,0,0
I had two unauthorized charges on my card and called Amazon Customer Service. I had the pleasure of speaking with a really sweet woman her name is Colleen (sorry if its misspelled) she was wonderful and a big big help. Thank you so much!! I really appreciate it!!!,5.0,1617,1,0,0
"I have been a Prime customer for yers and have always had a pretty good experience up until the last few months. More times than not when I select a product it will give an estimate of 1-2 days on shipping, but once I pay for the item and it gets shipped, the shipping time changes from 5-8 days. Shipping has become unreliable, and the delivery people do not follow deliver instructions at all. I even have video recordings from my doorbell cam of them making rude comments when dropping my packages. It is almost pointless to pay for Prime for the purposes of faster shipping.",3.0,17,1,1,1
"so I ask for a refund back to my amazon card of 105 dollars , instead they give me a gift card for 105 dollars that is charged to my amazon card ..... so instead of breaking even , I have to pay for the gift card ,,,, Fraud !",1.0,1679,1,0,0
"I've had many customer service nightmares where they just keep feeding you the same garbage. Well today was a much different experience. I had returned a defective item and had my money refunded. The problem was when i bought it amazon had applied a coupon to the order. When i went to repurchase the same item the coupon code wasn't applied. I chatted with a customer service agent named PARNESH. This agent gave me a promo code for future use to buy a different item, refunded the difference of the original coupon and expedited the shipping to overnight. I did not expect anything but the same ""sorry we can't help you any further"" garbage but wow what a wonderful experience. I wish amazon had a more in depth customer service feedback where you can write something about your experience rather than just a rating from terrible to great. This representative needs to be acknowledged because we need more people like them who care about the customers and want to do a good job.",5.0,825,1,0,0
I LOVE MY PURCHASES WITH AMAZON.COM ... PRIME IS THE BEST FOR FAST SHIPPING AND DATES. THE PRODUCTS ARE PACKAGED JUST RIGHT!!! THANKS AMAZON.COM,5.0,602,1,0,0
"Once again, Amazon has proven what a HORRENDOUS AND USELESS company it is.  On 9-11-23, at around 4:00 a.m., I ordered 2 bags of dog chews.  As a Prime member, I was told I would receive them the same day, between 7-11:00 a.m.  I get a notice around 11:10 a.m., that things are running late.  I tracked my package and was told it was out for delivery at 12:30 p.m..  Then, I get another notice telling me it won't be delivered until 9-12-23, sometime before 6:00 p.m.  I had recently gone through this same scenario with them, and called Customer Service to see what was going on.  They assured me I would get my package on 9-11-23.  I got ONE package - I had ordered TWO.   I had to call Customer Service again, only to find out Amazon had split my order, and two separate drivers would be delivering it. The tracking on the 2nd package originally indicated that it was out for delivery at 11:05 a.m. Then, I get a notice that it would not be coming until sometime before 6:00 p.m. on 9-12-23.  When I spoke to Customer Service, they they again assured me I would get the 2nd package on 9-11-23 but when I asked for a timeframe, I was told sometime on the 11th,  but no later than 6:00 p.m. on the 12th. What kind of an answer is that!!!!  It is 2:45 a.m. on 9-12-23 and NO PACKAGE!!  It is unbelievable that I have to be this frustrated over dog chews!!!!! I am going to be cancelling my Prime membership today, as I am paying for nothing.",1.0,13,0,1,1
"amazon needs to put sellers in check. i found so many items that are selling for double triple the price, and sometimes quadruple the price..like vans shoes, i saw them selling for 130 bucks while at the store they are 50 to 60 bucks. i just found a cologne they are selling for 95 and at bi-mart its 8 bucks. im really close to deleting amazon. i haven't ordered anything from them in about 4 years anyway.",2.0,1112,1,0,0
So Amazon sent me 8 packages I didn't order. Someone had my debit card info. This happened January 7th. Amazon cant give me a refund cause the charges wasnt on my account. I gave them order numbers and tracking numbers. but since these charges wasnt on my account. They can't make up a return slip. Talked to atleast 10 supervisors. Still waiting on answers.,1.0,296,1,0,0
"Like a lot of Americans, I have been buying from Amazon for years. Between my wife and I am sure we're well into the hundreds of purchases, and I'd say 98% of them have been trouble-free.There was a problem last winter, I'd ordered a Futon that was supposed to be delivered by x-date. It didn't show, contacted customer service. They said they'd try to expedite it and they'd call me by x-time the next day to confirm it arrived.Well, they didn't call, so I did. Got apologies and was told it should be to me in two days, if it wasn't to call them and they'd initiate a refund.It didn't show, and I called, and they issued a refund. Three days later the futon showed up. Got a return authorization and label - but I got back with them and said I wasn't lugging it to UPS, that they should arrange a pickup, and they did with no problem.I think the issue with people's bad experience falls into two categories - not doing research on the items and the sellers, and the unfortunate choices Amazon makes about shipping. All my orders arrive either USPS or UPS.I do miss the two-day shipping, but I guess that's gone forever. So I have to plan ahead, and if it's urgent, all the stores are less than 20 minutes away.All that so say that in nearly two decades, I've never had any concerns about my Amazon purchases.",4.0,910,1,0,0
"I don't have an issue with items being late, things happen beyond our control. However when for two days on the trot to be told your parcel will be delivered by 9pm then it's not & you've waited in both days all day it's taking the p*ss. Also to find on the system that the driver claimed he'd tried to deliver on the Saturday when it was clear he had not is a blatant li",1.0,606,1,0,0
"Have been a customer for a long time, I have noticed a huge change in their customer service no chat, can’t understand any of the representatives. Cancelled my prime I hope this company goes out of business they sell only crap now anyways it seems and used items. I can’t get anyone to refund me for an item I tracked that’s been delivered to them they won’t give me a refund at all.",1.0,795,1,0,0
"I have spent most of my money on Amazon- purchasing necessities for home and work. My account had fraud on it several times PRIOR to COVID-19 regulations or anyone identified with Corona Virus in the US. I did what Amazon told me to do- implement a two-step authorization when I log in. I was told someone from Amazon Fraud Dept would contact me. I removed all of my payment methods with the exception of my Amazon store card. I cancelled my debit card. When yet another fraud happened, I cancelled my Amazon Store Card. Fraud continued to happen. I am locked out of my own account and receiving multiple emails from Amazon demanding payment for fraudulent purchases on an inactive card. Are you kidding me? I wholeheartedly believe this is an inside job- and I have proof that will come out in court. In the world we live in right now, I don’t want this headache in my life. This long term member is navigating an Amazonless life just fine. I had however, better be granted access to my history, I will not pay for fraudulent charges and this needs to be done in a timely manner. SHAME on AMAZON. Liars, cheats and thieves that wouldn’t recognize true customer service if it stared them in the face. GROSS.",1.0,18,0,1,1
Great work !!! Thanks,5.0,1371,0,0,0
What is going on with amazon my deliveries are staying today yet I'm receiving all my parcels like 3/4 days later usps is rubbish.,1.0,1081,1,0,0
I did not receive the order but AMAZON customer service keep saying they cannot do anything and wont solve my problem. Stupid thing is amazon prime member does not matter in this situation lol. What a shame after 20 years. GG. bye amazon. i wont waste my money and time with your bad customer services,1.0,539,1,0,0
This site has gave me great joy and can always find the things I need when I need it 👍🏾Love it❤️,5.0,1312,1,0,0
"In the past month I have had to contact Amazon customer service multiple times. They screwed up my prime account, they have screwed up the same order 3 times. Each time they told me to cancel and re-order. I did and every time it still got screwed up.I contacted them again today and they told me that I entered incorrect information when I placed the order...I didn't. I verified it multiple times. They made no effort to help me or make this right. They blamed me, blamed telecheck, blamed my bank, made excuses, and did everything except help me solve the problems. I absolutely loved shopping with Amazon but the whole operation has gone downhill fast. Cheap, uninformed, incompetent labor and an absolute disregard for customer service has ruined my experience with them. I did contact telecheck like they asked. They had absolutely no record of anything to do with me or my bank. I also contacted my bank and they have no record of any transactions with Amazon in the last month at all.",1.0,683,1,0,0
"Although I have been using AMAZON for over 10 years, I noticed lately that their delivery service has detreated beyond imagination. Not only the drivers will drop the parcel at the door without even considering ringing the door-bell (if the parcel is to large to go through the letter-box) regardless to the weather condition. They use to be careful about delivering the parcels but no anymore!! It could be a result of work pressure and delivery quota per driver. Our house is located on the corner of two roads with a front garden leading to the front door via our drive. Last Friday 02nd Feb we were expecting a delivery of a new air-fryer as notified by AMAZON. We were sitting watching TV at lounge which by the front door at around four o'clock in the afternoon when I received an e-mail  from AMAZON stating the the package was delivered and left by the front door (with a photo showing that), so immediately we open the door but found nothing!!!! We looked everywhere around the house in case the driver decided to hide the package but there was nothing!! It is unusal for our neighbours to pick anything from the front of our door unless we were on a holiday and have requested them to do so! Our neighbourhood where we live, is very safe and never encountered nor heard of any theft! Furthermore, It needed someone there and ready for the delivery to be dropped so that he/she swiftly grab  it and run with it which is remotely to happen. Unless, the driver took the photo and picked it up again and took it. No one would've  suspected that action as it would look as if he was returning the item back to the van!! Even if we caught him doing it, he could easily say I didn't want to leave it at the door!!  Both our cars where there on the drive and our door-bell is working!!!!!!! So, we called AMAZON who initially integrated us asking if we are sure is not there, or with neighbours ..etc before telling us that we need to wait 72 hours before we can report it undelivered. So, we waited until Monday 05th and we requested a call-back where we discussed the issue!! Regrettably, the customer-service agent who was based in Ireland could not get through to the correct department who could resolve the issue and told us that she will leave a message on the system for them to call us back and assured us that the case will be resolved. No call was received so today (Tue 06th) once again requested a call back and we spoken to another agent based in Ireland who passed us to another colleague (sounded as if based in India) and who also passed us to another of his colleagues there who told us that they 72 hours  to investigate the matter and we have to wait!! Besides being frustrated with this matter, we feel as if we were accused of false claim!!!   Shameful that AMAZON treats customers like this!!!   .",1.0,650,1,0,0
I would send love letters to Amazon if I could.  They are the best online marketplace bar none.,5.0,841,0,0,0
"Horrendous customer service.. My call got disconnected because I asked the lady to speak slower. I could not understand what she was saying..I asked to speak to a manager, I was told NO ... I was not shouting swearing or been aggressive. I wanted to know why I had been delivered (outside my door) a faulty mattress.  £459 ~ approx 20 calls later they delivered me another mattress and it was not what I ordered. ... Then I'm expected to pay for them both.. Unbelievable. I just want both removed and nearly £1000 they've taken from my bank back... AVOID THIS COMPANY. THEY ARE INCOMPETENT AT BEST. Exploitation of miners..  slave trade.. Disgusting... I bet they won't post my review...",1.0,1389,1,0,0
"As with many other reviews Amazon very rarely meet their delivery deadlines, I say very rarely as they have done so on a couple of occasions. Amazon always blame everyone other than take responsibility for these failures, if you can’t meet the target that they set, then don’t advertise that you can. We are now going to cancel our prime membership and close our account, dreadful company to try and deal with, and don’t expect to speak with a human anytime soon.",1.0,647,1,0,0
"the worst company I never want to work for these types of people from Amazon again, after working for them you will notice that you are treated like a slave they have the worst, incompetent and arrogant staff all the id..ts at amazon are bosses they came for a year at amazon, maybe  don't even speak English very well and they have come to believe that they are superior and important, some messes",1.0,1626,1,0,0
"Amazon is straight trash! They are crooks. They allow companies to sell horrible products on their page and then the pretend to be innocent, well you are just as guilty Amazon because you have been told over and over by your customers but you do not remove the sellers! They false advertise to get you to buy certain items by offering expedited prime shipping, (same day delivery) in some cases and then the item never shows or shows really late. The only compensation they offer for the inconvenience is to have you spend more money with them with a stupid promo credit that can only be used on Amazon shipped and sold items (which are trash products too). I don't want to give you more money, I want my damn money back and/or a credit towards the items I already bought!!No matter how many complaints you make they continue the nonchalant attitude because they know that Ebay and Walmart or other shipping companies don't have the same shipping options. Its a shame because they will keep this poor service until they have some competition that can actually threaten their place in the market...Also when you try to give a bad review they pull it down so I plan on putting this review everywhere I can. I was actually surprised to see the number of bad reviews were almost 50%...I didn't think that anyone would allow people to tell the ugly side of that company lol.",1.0,1787,1,0,0
Refunded price of a computer item after several months of intermittent problems. Very few companies I know would do that.,5.0,1313,1,0,0
